creator_id,creator_match_score,fit_score,virality_score,roi_score,recommendation_score
creator_4,0.729,0.559,0.94,0.592,0.7309000000000001
creator_9,0.731,0.52,0.734,0.905,0.7245
creator_6,0.486,0.667,0.831,0.973,0.7231
creator_10,0.789,0.574,0.543,0.638,0.642
creator_8,0.876,0.475,0.276,0.946,0.6298
creator_1,0.606,0.41,0.674,0.696,0.6052
creator_14,0.517,0.655,0.909,0.141,0.587
creator_5,0.486,0.475,0.953,0.266,0.5799
creator_12,0.933,0.42,0.586,0.18,0.5757
creator_3,0.803,0.615,0.251,0.568,0.5528
creator_11,0.411,0.771,0.295,0.93,0.552
creator_2,0.923,0.483,0.333,0.381,0.5496
creator_13,0.858,0.609,0.227,0.276,0.5025
creator_7,0.432,0.384,0.438,0.798,0.4974
creator_15,0.5,0.328,0.402,0.393,0.4148
